B19013_001E,state,zipcode,state_code
43050,Pennsylvania,16504,42
61557,Pennsylvania,16648,42
80139,Pennsylvania,16048,42
41806,Pennsylvania,16211,42
-666666666,Pennsylvania,16312,42
31313,Pennsylvania,16328,42
-666666666,Pennsylvania,16444,42
-666666666,Pennsylvania,16546,42
-666666666,Pennsylvania,16563,42
-666666666,Pennsylvania,16699,42
74167,Pennsylvania,16728,42
52500,Pennsylvania,16821,42
63750,Pennsylvania,16835,42
47083,Pennsylvania,15954,42
-666666666,Pennsylvania,15693,42
62792,Pennsylvania,15695,42
58125,Pennsylvania,15739,42
76596,Pennsylvania,15754,42
39519,Pennsylvania,15761,42
44813,Pennsylvania,15772,42
34219,Pennsylvania,15776,42
52708,Pennsylvania,15783,42
40625,Pennsylvania,15821,42
62500,Pennsylvania,15827,42
58750,Pennsylvania,15829,42
44861,Pennsylvania,15849,42
47188,Pennsylvania,15925,42
46071,Pennsylvania,15943,42
50833,Pennsylvania,15346,42
58917,Pennsylvania,15362,42
60714,Pennsylvania,15428,42
57695,Pennsylvania,15445,42
-666666666,Pennsylvania,15460,42
-666666666,Pennsylvania,15472,42
-666666666,Pennsylvania,15476,42
53156,Pennsylvania,15522,42
56396,Pennsylvania,15530,42
50192,Pennsylvania,15534,42
49022,Pennsylvania,15550,42
71906,Pennsylvania,15610,42
41667,Pennsylvania,16922,42
45929,Pennsylvania,16933,42
65625,Pennsylvania,16937,42
51429,Pennsylvania,16939,42
47188,Pennsylvania,16943,42
40625,Pennsylvania,16946,42
60061,Pennsylvania,16825,42
49000,Pennsylvania,16829,42
27234,Pennsylvania,16843,42
45341,Pennsylvania,16744,42
-666666666,Pennsylvania,16802,42
39948,Pennsylvania,16111,42
73125,Pennsylvania,16113,42
37188,Pennsylvania,16217,42
81250,Pennsylvania,16253,42
59271,Pennsylvania,16329,42
59219,Pennsylvania,16362,42
54324,Pennsylvania,16373,42
47545,Pennsylvania,16404,42
53165,Pennsylvania,16417,42
33833,Pennsylvania,16502,42
36358,Pennsylvania,16507,42
58614,Pennsylvania,16509,42
41071,Pennsylvania,16619,42
48179,Pennsylvania,16641,42
36607,Pennsylvania,16665,42
39457,Pennsylvania,16667,42
53454,Pennsylvania,16668,42
49722,Pennsylvania,16674,42
48438,Pennsylvania,16678,42
37857,Pennsylvania,16733,42
48750,Pennsylvania,16734,42
59531,Pennsylvania,16820,42
42958,Pennsylvania,16833,42
49250,Pennsylvania,16834,42
85833,Pennsylvania,16851,42
56616,Pennsylvania,16875,42
46417,Pennsylvania,16882,42
56448,Pennsylvania,16901,42
60313,Pennsylvania,16911,42
56250,Pennsylvania,16929,42
68421,Pennsylvania,16002,42
44636,Pennsylvania,16023,42
52883,Pennsylvania,16041,42
47750,Pennsylvania,16049,42
50385,Pennsylvania,16868,42
40605,Pennsylvania,16950,42
33839,Pennsylvania,16837,42
-666666666,Pennsylvania,16847,42
43750,Pennsylvania,16848,42
86389,Pennsylvania,16024,42
72213,Pennsylvania,16025,42
65345,Pennsylvania,16038,42
82642,Pennsylvania,16053,42
106274,Pennsylvania,16066,42
42090,Pennsylvania,16101,42
63924,Pennsylvania,16105,42
83594,Pennsylvania,16123,42
45329,Pennsylvania,16134,42
62552,Pennsylvania,16140,42
52039,Pennsylvania,16145,42
55525,Pennsylvania,16157,42
34125,Pennsylvania,16161,42
62083,Pennsylvania,16238,42
